               ,ESCUELA PREPARATORIA NUM. 3\\ TURNO MATUTINO                                     ,24,SAN LUIS POTOSI,aaa,,
01ETC0009X     ,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO PLANTEL SAN JOSE DE GR,1,SAN JOSE DE GRACIA,SAN JOSE DE GRACIA (COLONIA CALLES),BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,ORGANISMO DESCENTRALIZADO DEL GOBIERNO DEL ESTADO
01ETC0010M     ,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO PLANTEL EL LLANO      ,1,EL LLANO,PALO ALTO,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,ORGANISMO DESCENTRALIZADO DEL GOBIERNO DEL ESTADO
01ETC0011L     ,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO PLANTEL J. GUADALUPE  ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,ORGANISMO DESCENTRALIZADO DEL GOBIERNO DEL ESTADO
01ETC0012K     ,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO PLANTEL JESUS MARIA   ,1,JESUS MARIA,JESUS MARIA,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,ORGANISMO DESCENTRALIZADO DEL GOBIERNO DEL ESTADO
01ETH0001Z     ,TELEBACHILLERATO PEÑUELAS                                                       ,1,AGUASCALIENTES,PEÒUELAS (EL CIENEGAL),BACHILLERATO GENERAL DE 3 AÑOS,ESTATAL
01ETH0002Z     ,TELEBACHILLERATO CIENEGA GRANDE                                                 ,1,ASIENTOS,CIENEGA GRANDE,BACHILLERATO GENERAL DE 3 AÑOS,ESTATAL
01ETH0004X     ,TELEBACHILLERATO GUADALUPE DE ATLAS                                             ,1,ASIENTOS,GUADALUPE DE ATLAS,BACHILLERATO GENERAL DE 3 AÑOS,ESTATAL
01ETH0005W     ,TELEBACHILLERATO JESUS MARIA                                                    ,1,JESUS MARIA,JESUS MARIA,BACHILLERATO GENERAL DE 3 AÑOS,ESTATAL
01ETH0006V     ,TELEBACHILLERATO J. GOMEZ PORTUGAL                                              ,1,JESUS MARIA,JESUS GOMEZ PORTUGAL (MARGARITAS),BACHILLERATO GENERAL DE 3 AÑOS,ESTATAL
01ETH0010H     ,TELEBACHILLERATO SAN ANTONIO\\ TEPEZALA                                          ,1,TEPEZALA,SAN ANTONIO,BACHILLERATO GENERAL DE 3 AÑOS,ESTATAL
01ETH0012F     ,TELEBACHILLERATO SAN JOSE DE GRACIA                                             ,1,SAN JOSE DE GRACIA,SAN JOSE DE GRACIA (COLONIA CALLES),BACHILLERATO GENERAL DE 3 AÑOS,ESTATAL
01ETH0015C     ,TELEBACHILLERATO EMILIANO ZAPATA                                                ,1,PABELLON DE ARTEAGA,EMILIANO ZAPATA,BACHILLERATO GENERAL DE 3 AÑOS,ESTATAL
01ETH0016B     ,TELEBACHILLERATO VALLADOLID                                                     ,1,JESUS MARIA,VALLADOLID,BACHILLERATO GENERAL DE 3 AÑOS,ESTATAL
01ETH0021N     ,TELEBACHILLERATO SAN TADEO                                                      ,1,CALVILLO,SAN TADEO,BACHILLERATO GENERAL DE 3 AÑOS,ESTATAL
01ETH0022M     ,TELEBACHILLERATO JALTOMATE                                                      ,1,AGUASCALIENTES,JALTOMATE,BACHILLERATO GENERAL DE 3 AÑOS,ESTATAL
01ETH0023L     ,TELEBACHILLERATO TROJES DE ALONSO                                               ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL DE 3 AÑOS,ESTATAL
01ETH0024K     ,TELEBACHILLERATO OJO DE AGUA                                                    ,1,CALVILLO,OJO DE AGUA,BACHILLERATO GENERAL DE 3 AÑOS,ESTATAL
01ETH0025J     ,TELEBACHILLERATO SAN ISIDRO                                                     ,1,CALVILLO,TANQUE DE LOS SERNA,BACHILLERATO GENERAL DE 3 AÑOS,ESTATAL
01ETH0026I     ,TELEBACHILLERATO PASO BLANCO                                                    ,1,JESUS MARIA,PASO BLANCO,BACHILLERATO GENERAL DE 3 AÑOS,ESTATAL
01ETH0027H     ,TELEBACHILLERATO ESCALERAS                                                      ,1,RINCON DE ROMOS,ESCALERAS,BACHILLERATO GENERAL DE 3 AÑOS,ESTATAL
01ETH0029F     ,TELEBACHILLERATO LOMA DEL REFUGIO                                               ,1,EL LLANO,LOMAS DEL REFUGIO (LA LOMA),BACHILLERATO GENERAL DE 3 AÑOS,ESTATAL
01ETH0030V     ,TELEBACHILLERATO ADOLFO LOPEZ MATEOS                                            ,1,ASIENTOS,ADOLFO LOPEZ MATEOS,BACHILLERATO GENERAL DE 3 AÑOS,ESTATAL
01ETH0031U     ,TELEBACHILLERATO SAN FRANCISCO DE LOS VIVERO                                    ,1,EL LLANO,SAN FRANCISCO DE LOS VIVEROS,BACHILLERATO GENERAL DE 3 AÑOS,ESTATAL
01ETH0032T     ,TELEBACHILLERATO CERESO\\ EL LLANO                                               ,1,EL LLANO,PALO ALTO,BACHILLERATO GENERAL DE 3 AÑOS,ESTATAL
